Feature,LR_SHAP,RF_SHAP,XGB_SHAP,Average_SHAP
RecruitmentStrategy_1,1.0222158038622837,0.16006216635576517,1.8214813,1.0012531057673648
SkillScore,0.7196517510712488,0.06971972918736292,0.89278775,0.5607197449314288
PersonalityScore,0.5905375241804618,0.07004148513353889,0.7971187,0.48589924423549574
InterviewScore,0.5577797617747319,0.06882487428208715,0.82608014,0.48422825983616996
ExperienceYears,0.47057453415703854,0.0522908009739659,0.67067647,0.397847268311287
RecruitmentStrategy_2,0.6338948012128598,0.08221046114747362,0.037912346,0.2513392029276686
EducationLevel_3,0.29938246029244614,0.03010944273036525,0.41940498,0.24963229551443974
EducationLevel_2,0.44336260692263524,0.030214930300542727,0.16243127,0.21200293570242915
EducationLevel_1,0.41856211800433774,0.01622690928398796,0.17432337,0.20303746412686774
EducationLevel_4,0.21169515996463867,0.027185209834763586,0.27617836,0.17168624326158458
RecruitmentStrategy_3,0.3576575358055236,0.034038781319491854,0.0066934945,0.13279660387706524
PreviousCompanies,0.17947525755016205,0.011768443782477074,0.15002576,0.1137564854998822
DistanceFromCompany,0.09829871463045387,0.01209169029364588,0.14605117,0.08548052445529074
Age,0.011588935606360795,0.014000047133520868,0.18852493,0.07137130480303897
Gender,0.08885601932800903,0.005573306717510991,0.095916644,0.06344865659475556
